"blacklist";"list";"ipv"
"162.243.170.87";"apache";"ipv4"
"162.253.177.10";"apache";"ipv4"
"163.172.33.228";"apache";"ipv4"
"163.44.198.52";"apache";"ipv4"
"164.52.24.172";"apache";"ipv4"
"164.68.120.49";"apache";"ipv4"
"164.68.126.176";"apache";"ipv4"
"165.22.62.49";"apache";"ipv4"
"165.22.65.143";"apache";"ipv4"
"165.231.178.22";"apache";"ipv4"
"165.232.174.115";"apache";"ipv4"
"165.232.178.148";"apache";"ipv4"
"166.62.122.244";"apache";"ipv4"
"166.62.124.228";"apache";"ipv4"
"167.172.115.176";"apache";"ipv4"
"167.172.149.128";"apache";"ipv4"
"167.71.102.17";"apache";"ipv4"
"167.86.118.78";"apache";"ipv4"
"167.99.169.127";"apache";"ipv4"
"167.99.185.30";"apache";"ipv4"
"167.99.32.27";"apache";"ipv4"
"168.119.146.85";"apache";"ipv4"
"171.241.123.19";"apache";"ipv4"
"172.104.93.160";"apache";"ipv4"
"172.105.190.57";"apache";"ipv4"
"172.105.237.167";"apache";"ipv4"
"172.105.57.222";"apache";"ipv4"
"172.105.78.243";"apache";"ipv4"
"173.186.116.37";"apache";"ipv4"
"173.236.152.14";"apache";"ipv4"
"173.236.176.10";"apache";"ipv4"
"173.236.176.141";"apache";"ipv4"
"173.236.194.41";"apache";"ipv4"
"175.101.156.13";"apache";"ipv4"
"175.140.185.71";"apache";"ipv4"
"176.113.115.10";"apache";"ipv4"
"176.235.216.155";"apache";"ipv4"
"176.53.84.179";"apache";"ipv4"
"176.9.40.23";"apache";"ipv4"
"177.107.68.24";"apache";"ipv4"
"177.19.165.26";"apache";"ipv4"
"177.23.116.175";"apache";"ipv4"
"178.126.88.236";"apache";"ipv4"
"178.128.112.15";"apache";"ipv4"
"178.128.255.16";"apache";"ipv4"
"178.148.248.194";"apache";"ipv4"
"178.162.204.238";"apache";"ipv4"
"178.222.3.134";"apache";"ipv4"
"178.238.231.203";"apache";"ipv4"
"178.251.28.25";"apache";"ipv4"
"178.62.230.65";"apache";"ipv4"
"178.62.76.138";"apache";"ipv4"
"178.62.79.87";"apache";"ipv4"
"178.63.127.188";"apache";"ipv4"
"178.72.68.231";"apache";"ipv4"
"179.6.207.192";"apache";"ipv4"
"179.98.253.166";"apache";"ipv4"
"18.117.16.227";"apache";"ipv4"
"18.168.148.38";"apache";"ipv4"
"18.169.175.239";"apache";"ipv4"
"18.213.212.213";"apache";"ipv4"
"180.178.45.220";"apache";"ipv4"
"180.250.28.34";"apache";"ipv4"
"180.76.185.20";"apache";"ipv4"
"182.160.119.94";"apache";"ipv4"
"182.160.123.148";"apache";"ipv4"
"182.184.90.108";"apache";"ipv4"
"182.190.246.128";"apache";"ipv4"
"182.50.67.149";"apache";"ipv4"
"183.80.199.151";"apache";"ipv4"
"183.82.176.83";"apache";"ipv4"
"183.91.7.244";"apache";"ipv4"
"184.168.126.206";"apache";"ipv4"
"185.114.245.107";"apache";"ipv4"
"185.120.220.75";"apache";"ipv4"
"185.13.231.4";"apache";"ipv4"
"185.132.82.145";"apache";"ipv4"
"185.133.42.161";"apache";"ipv4"
"185.142.239.16";"apache";"ipv4"
"185.2.4.56";"apache";"ipv4"
"185.213.155.169";"apache";"ipv4"
"185.220.101.198";"apache";"ipv4"
"185.220.102.245";"apache";"ipv4"
"185.238.170.186";"apache";"ipv4"
"185.41.28.129";"apache";"ipv4"
"186.150.97.100";"apache";"ipv4"
"186.179.100.20";"apache";"ipv4"
"186.179.100.217";"apache";"ipv4"
"186.179.100.55";"apache";"ipv4"
"186.215.197.15";"apache";"ipv4"
"186.251.228.121";"apache";"ipv4"
"186.75.223.195";"apache";"ipv4"
"186.96.145.26";"apache";"ipv4"
"187.188.183.89";"apache";"ipv4"
"187.19.242.110";"apache";"ipv4"
"188.163.47.9";"apache";"ipv4"
"188.165.208.7";"apache";"ipv4"
"188.166.233.252";"apache";"ipv4"
"188.166.234.199";"apache";"ipv4"
"188.212.34.120";"apache";"ipv4"
"188.212.34.69";"apache";"ipv4"
"188.213.49.221";"apache";"ipv4"
"190.101.95.89";"apache";"ipv4"
"190.103.84.5";"apache";"ipv4"
"190.119.238.15";"apache";"ipv4"
"190.151.122.2";"apache";"ipv4"
"190.3.194.237";"apache";"ipv4"
"190.3.205.213";"apache";"ipv4"
"190.80.159.182";"apache";"ipv4"
"190.95.104.38";"apache";"ipv4"
"191.102.120.175";"apache";"ipv4"
"191.102.78.229";"apache";"ipv4"
"191.97.12.212";"apache";"ipv4"
"192.163.199.39";"apache";"ipv4"
"192.236.192.227";"apache";"ipv4"
"193.107.216.164";"apache";"ipv4"
"193.112.127.112";"apache";"ipv4"
"193.142.146.42";"apache";"ipv4"
"193.142.59.131";"apache";"ipv4"
"193.151.98.112";"apache";"ipv4"
"193.169.254.217";"apache";"ipv4"
"193.189.100.206";"apache";"ipv4"
"193.29.106.118";"apache";"ipv4"
"193.46.255.137";"apache";"ipv4"
"193.70.122.232";"apache";"ipv4"
"193.70.122.67";"apache";"ipv4"
"194.163.135.235";"apache";"ipv4"
"194.34.132.58";"apache";"ipv4"
"194.5.53.132";"apache";"ipv4"
"194.61.54.86";"apache";"ipv4"
"195.154.200.4";"apache";"ipv4"
"195.154.67.61";"apache";"ipv4"
"197.200.100.153";"apache";"ipv4"
"197.200.27.142";"apache";"ipv4"
"198.12.115.216";"apache";"ipv4"
"198.204.240.244";"apache";"ipv4"
"199.188.204.131";"apache";"ipv4"
"199.204.208.167";"apache";"ipv4"
"199.204.208.172";"apache";"ipv4"
"2.56.188.43";"apache";"ipv4"
"2.59.233.238";"apache";"ipv4"
"20.199.120.68";"apache";"ipv4"
"20.83.144.202";"apache";"ipv4"
"20.84.114.126";"apache";"ipv4"
"20.97.173.169";"apache";"ipv4"
"20.98.246.25";"apache";"ipv4"
"200.146.227.146";"apache";"ipv4"
"2001:41d0:203:8340:51:210:80:127";"apache";"ipv6"
"2001:41d0:203:e8::";"apache";"ipv6"
"2001:d08:d4:8414:f1dc:c927:6ad:5dc9";"apache";"ipv6"
"2001:e68:5425:5ea1:2440:e5ce:3f92:2a31";"apache";"ipv6"
"2002:c097:918b::c097:918b";"apache";"ipv6"
"2002:c6cc:f0f5::c6cc:f0f5";"apache";"ipv6"
"2003:cf:b700:cbc2:e19f:2d56:ddc2:ef26";"apache";"ipv6"
"201.16.223.57";"apache";"ipv4"
"201.185.69.77";"apache";"ipv4"
"201.222.49.238";"apache";"ipv4"
"202.124.205.9";"apache";"ipv4"
"202.137.155.181";"apache";"ipv4"
"202.190.106.240";"apache";"ipv4"
"202.51.76.215";"apache";"ipv4"
"202.65.153.131";"apache";"ipv4"
"202.83.58.35";"apache";"ipv4"
"202.83.59.1";"apache";"ipv4"
"203.122.48.58";"apache";"ipv4"
"203.147.76.2";"apache";"ipv4"
"203.159.80.233";"apache";"ipv4"
"205.147.109.158";"apache";"ipv4"
"206.189.140.3";"apache";"ipv4"
"206.189.231.196";"apache";"ipv4"
"206.81.12.83";"apache";"ipv4"
"207.136.12.46";"apache";"ipv4"
"207.154.215.89";"apache";"ipv4"
"207.38.86.252";"apache";"ipv4"
"208.109.8.126";"apache";"ipv4"
"208.113.171.183";"apache";"ipv4"
"208.113.217.164";"apache";"ipv4"
"209.145.63.112";"apache";"ipv4"
"209.244.159.152";"apache";"ipv4"
"209.50.58.63";"apache";"ipv4"
"210.211.116.118";"apache";"ipv4"
"210.211.125.204";"apache";"ipv4"
"210.222.37.79";"apache";"ipv4"
"210.245.12.98";"apache";"ipv4"
"211.125.122.47";"apache";"ipv4"
"212.102.33.34";"apache";"ipv4"
"212.15.178.48";"apache";"ipv4"
"212.174.54.142";"apache";"ipv4"
"212.227.89.27";"apache";"ipv4"
"213.149.103.132";"apache";"ipv4"
"213.159.209.230";"apache";"ipv4"
"213.94.6.115";"apache";"ipv4"
"217.112.92.178";"apache";"ipv4"
"217.144.142.251";"apache";"ipv4"
"218.27.136.169";"apache";"ipv4"
"219.134.217.126";"apache";"ipv4"
"220.116.230.50";"apache";"ipv4"
"220.246.37.202";"apache";"ipv4"
"221.232.18.26";"apache";"ipv4"
"222.165.182.42";"apache";"ipv4"
"222.186.160.171";"apache";"ipv4"
"223.146.250.226";"apache";"ipv4"
"223.150.125.172";"apache";"ipv4"
"223.177.92.204";"apache";"ipv4"
"23.101.180.204";"apache";"ipv4"
"23.95.86.84";"apache";"ipv4"
"23.96.18.133";"apache";"ipv4"
"23.99.97.154";"apache";"ipv4"
"24.131.166.175";"apache";"ipv4"
"2401:4900:38ed:f4b1:540f:d869:a6a3:149a";"apache";"ipv6"
"2401:4900:38ed:f4b1:5809:5882:1784:d37a";"apache";"ipv6"
"2401:4900:38ed:f4b1:a8bd:1b0:64a1:e68a";"apache";"ipv6"
"2401:4900:38ed:f4b1:c1b4:c810:201d:e699";"apache";"ipv6"
"2405:201:4:a822:4596:720:c847:2408";"apache";"ipv6"
"2405:201:4:a822:c1a:ae2b:4701:197f";"apache";"ipv6"
"2405:201:4:a822:dd6:a9ee:faec:fc3c";"apache";"ipv6"
"2409:4064:a1d:fea7:28ee:477d:427f:aecf";"apache";"ipv6"
"2a00:d680:20:50::bcb2";"apache";"ipv6"
"2a01:cb19:8673:9900:150a:5ba3:e4c1:a92";"apache";"ipv6"
"2a01:cb19:8673:9900:b4ab:9439:ecf7:c5c1";"apache";"ipv6"
"2a01:cb19:8673:9900:d2:d852:a09f:6cb0";"apache";"ipv6"
"2a01:cb19:8673:9900:ddbd:f7e8:8dfb:d851";"apache";"ipv6"
"3.108.152.197";"apache";"ipv4"
